title,video_len,views,date_time,video_link,thumbnail_link
Coding Round Contests - Test Series,0:31,8.3K views,1 year ago,https://www.youtube.com/watch?v=HvNptfyNUto,https://i.ytimg.com/vi/HvNptfyNUto/hqdefault.jpg
"#Skillitup | DSA Workshop- Week-1 ( Day 1) - Time Complexity, Maths | Shashi Bhushan | GeeksforGeeks",2:01:46,115K views,Streamed 1 year ago,https://www.youtube.com/watch?v=POehjAlYqNw,https://i.ytimg.com/vi/POehjAlYqNw/hqdefault.jpg
Technical Scripter Event 2020 | GeeksforGeeks,0:35,1.8K views,1 year ago,https://www.youtube.com/watch?v=wT7Eo_Sf5h0,https://i.ytimg.com/vi/wT7Eo_Sf5h0/hqdefault.jpg
Importance of DSA (Data Structures & Algorithms) | Radhika Jhunjhunwala | GeeksforGeeks,5:08,21K views,1 year ago,https://www.youtube.com/watch?v=ke1WY5tWMWo,https://i.ytimg.com/vi/ke1WY5tWMWo/hqdefault.jpg
#Skillitup | Workshop- How to Solve Top Coding Interview Questions (Real-Time Approach),1:06:01,10K views,Streamed 1 year ago,https://www.youtube.com/watch?v=oXP8KfIDfho,https://i.ytimg.com/vi/oXP8KfIDfho/hqdefault.jpg
#Skillitup | Webinar- Strengthen Your C++ Basics,1:02:06,7.5K views,Streamed 1 year ago,https://www.youtube.com/watch?v=L4pAYt1KKzo,https://i.ytimg.com/vi/L4pAYt1KKzo/hqdefault.jpg
7 Tips for Effective Technical Articles | Akash Kalra | GeeksforGeeks,7:08,8.6K views,1 year ago,https://www.youtube.com/watch?v=J7XNlGDRSz4,https://i.ytimg.com/vi/J7XNlGDRSz4/hqdefault.jpg
#Skillitup | Workshop - Intro to DSA- Why Learning DSA is Important | Shashi Bhushan | GeeksforGeeks,1:14:06,107K views,Streamed 1 year ago,https://www.youtube.com/watch?v=YEOuqKT-svE,https://i.ytimg.com/vi/YEOuqKT-svE/hqdefault.jpg
Complete Interview Preparation to Crack Coding Interviews | GeeksforGeeks,0:44,1.9M views,1 year ago,https://www.youtube.com/watch?v=3gKvYR0P2F0,https://i.ytimg.com/vi/3gKvYR0P2F0/hqdefault.jpg
#Skillitup | Webinar - Build your Foundation in Java,56:26,6.3K views,Streamed 1 year ago,https://www.youtube.com/watch?v=vlk_8joG5Yo,https://i.ytimg.com/vi/vlk_8joG5Yo/hqdefault.jpg
#Skillitup | Webinar - How to Crack Off-campus Interviews,1:05:25,6.3K views,Streamed 1 year ago,https://www.youtube.com/watch?v=MWM3v3Da7OA,https://i.ytimg.com/vi/MWM3v3Da7OA/hqdefault.jpg
How To Begin With Competitive Coding ? | GeeksforGeeks,7:56,104K views,1 year ago,https://www.youtube.com/watch?v=qZNRKB0uR5o,https://i.ytimg.com/vi/qZNRKB0uR5o/hqdefault.jpg
Remove Common Elements & Concatenate | DSA | Programming Tutorials | GeeksforGeeks,14:06,2.3K views,1 year ago,https://www.youtube.com/watch?v=IO1X5-hO450,https://i.ytimg.com/vi/IO1X5-hO450/hqdefault.jpg
Workshop on Java Backend Development - DAY 2 | GeeksforGeeks,1:42:08,10K views,Streamed 1 year ago,https://www.youtube.com/watch?v=fX6qw3JtTD8,https://i.ytimg.com/vi/fX6qw3JtTD8/hqdefault.jpg
Roof Top | Data Structures & Algorithms | Programming Tutorials | GeeksforGeeks,9:19,1.8K views,1 year ago,https://www.youtube.com/watch?v=JYcB0hF88bs,https://i.ytimg.com/vi/JYcB0hF88bs/hqdefault.jpg
Workshop on Java Backend Development - DAY 1 | GeeksforGeeks,1:59:06,33K views,Streamed 1 year ago,https://www.youtube.com/watch?v=uhp3GbQiSRs,https://i.ytimg.com/vi/uhp3GbQiSRs/hqdefault.jpg
Minimum Element in a Sorted & Rotated Array | DSA | Programming Tutorials | GeeksforGeeks,14:12,7.3K views,1 year ago,https://www.youtube.com/watch?v=3NDTaC4scMM,https://i.ytimg.com/vi/3NDTaC4scMM/hqdefault.jpg
Check if Array is Sorted & Rotated | DSA | Programming Tutorials | GeeksforGeeks,25:55,5.9K views,1 year ago,https://www.youtube.com/watch?v=41YClEVwwd8,https://i.ytimg.com/vi/41YClEVwwd8/hqdefault.jpg
Rearrange an array in Max & Min Form | DSA | Programming Tutorials | GeeksforGeeks,16:46,9K views,1 year ago,https://www.youtube.com/watch?v=oK0FKG5kigo,https://i.ytimg.com/vi/oK0FKG5kigo/hqdefault.jpg
Minimum Adjacent Absolute Difference in Circular Array | DSA | Programming Tutorials | GeeksforGeeks,10:29,1.9K views,1 year ago,https://www.youtube.com/watch?v=G-vouVriEvY,https://i.ytimg.com/vi/G-vouVriEvY/hqdefault.jpg
Finding Number of Pairs | Data Structures & Algorithms | Programming Tutorials | GeeksforGeeks,20:39,4.8K views,1 year ago,https://www.youtube.com/watch?v=CafQe7sfdfY,https://i.ytimg.com/vi/CafQe7sfdfY/hqdefault.jpg
Maximum Occurred Integer in N Ranges | DSA | Programming Tutorials | GeeksforGeeks,14:46,8.2K views,1 year ago,https://www.youtube.com/watch?v=czJe_yO1ruI,https://i.ytimg.com/vi/czJe_yO1ruI/hqdefault.jpg
Check if String is Isogram | Data Structures & Algorithms | Programming Tutorials | GeeksforGeeks,10:46,3.1K views,1 year ago,https://www.youtube.com/watch?v=Y3T03b8cQ2k,https://i.ytimg.com/vi/Y3T03b8cQ2k/hqdefault.jpg
Frequency of Limited Range Array Elements | DSA | Programming Tutorials | GeeksforGeeks,32:19,10K views,1 year ago,https://www.youtube.com/watch?v=B2hI-QPoisk,https://i.ytimg.com/vi/B2hI-QPoisk/hqdefault.jpg
Closer To Sort | Data Structures & Algorithms | Programming Tutorials | GeeksforGeeks,8:58,1.7K views,1 year ago,https://www.youtube.com/watch?v=5qVSEngNtL4,https://i.ytimg.com/vi/5qVSEngNtL4/hqdefault.jpg
A conversation about Computer Science with the CTO of ErosNow | Star Night by GeeksforGeeks,1:01:16,1.6K views,Streamed 1 year ago,https://www.youtube.com/watch?v=HEwejWrTZmk,https://i.ytimg.com/vi/HEwejWrTZmk/hqdefault.jpg
Webinar - How to shape your career with DSA  | GeekWeek Special,1:04:12,5.4K views,Streamed 1 year ago,https://www.youtube.com/watch?v=d30n99TcfDU,https://i.ytimg.com/vi/d30n99TcfDU/hqdefault.jpg
Computer Science through a Coder’s Lens | Code Studio by GeeksforGeeks,1:13:20,2.3K views,Streamed 1 year ago,https://www.youtube.com/watch?v=K6TfOV7SP_I,https://i.ytimg.com/vi/K6TfOV7SP_I/hqdefault.jpg
Webinar - Kickstart your programming journey with JAVA  | GeekWeek Special,56:30,2.1K views,Streamed 1 year ago,https://www.youtube.com/watch?v=Bquty5G4qK0,https://i.ytimg.com/vi/Bquty5G4qK0/hqdefault.jpg
Top Code Conventions to stand out in an interview | GeeksforGeeks,9:27,2.6K views,1 year ago,https://www.youtube.com/watch?v=aC3k8yUkMZM,https://i.ytimg.com/vi/aC3k8yUkMZM/hqdefault.jpg
Webinar - Why should learning ML be your top priority? | GeekWeek Special,1:00:00,3.4K views,Streamed 1 year ago,https://www.youtube.com/watch?v=-FcBdtZkxzI,https://i.ytimg.com/vi/-FcBdtZkxzI/hqdefault.jpg
Webinar - How to level up your career as a React Developer? | GeekWeek Special,1:05:43,4.3K views,Streamed 1 year ago,https://www.youtube.com/watch?v=_WVhmlYfVUM,https://i.ytimg.com/vi/_WVhmlYfVUM/hqdefault.jpg
Webinar - Roadmap to Faang Companies | GeekWeek Special,1:04:14,7.9K views,Streamed 1 year ago,https://www.youtube.com/watch?v=oOnb3r7JQWM,https://i.ytimg.com/vi/oOnb3r7JQWM/hqdefault.jpg
